Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        
-nan           1              -nan           1              -nan           1              
0              1              0              1              0              1              
0              1              0              1              0              1              
7.41416e-05    1              0              1              0              1              
7.41416e-05    1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0.000711       1              0              1              0              1              
0.000711       1              0              1              0              1              
0.00150939     1              0              1              0              1              
0.0111557      1              0              1              0              1              
0.410929       1              0.0143358      1              0              1              
0.24318        1              0.047786       1              0              1              
0.321345       1              0.071679       1              0              1              
0.387351       1              0.129022       1              0              1              
0.456831       1              0.511558       1              0              1              
3.86868        1              0.623462       1              0.0206474      1              
3.06702        1              1.45454        1              0              1              
3.96545        1              2.69889        1              0.0206458      1              
0.913304       1              4.57873        1              0.103229       1              
1.9562         1              2.91131        1              0.0518517      1              
1.98385        1              5.15703        1              0.416729       1              
2.52417        1              3.83735        1              1.25019        1              
2.26803        1              4.93359        1              1.50022        1              
2.75316        1              12.6444        1              3.05006        1              
2.65263        1              8.81744        1              3.95377        1              
2.65263        1              8.81744        1              3.95377        1              
2.56454        1              7.66787        1              5.19639        1              
2.56454        1              7.66787        1              5.19639        1              
2.56454        1              7.66787        1              5.19639        1              
2.56454        1              7.66787        1              5.19639        1              
2.56454        1              7.66787        1              5.19639        1              
2.56454        1              7.66787        1              5.19639        1              
2.56454        1              7.66787        1              5.19639        1              
2.56454        1              7.66787        1              5.19639        1              
0.504415       1              7.90422        1              9.78175        1              
0.504415       1              7.90422        1              9.78175        1              
0.00408839     1              7.89695        1              14.113         1              
0.00408839     1              7.89695        1              14.113         1              
0              1              4.83753        1              11.9961        1              
0              1              4.83753        1              11.9961        1              
0              1              3.31007        1              18.922         1              
0              1              3.31007        1              18.922         1              
0              1              3.01466        1              22.2371        1              
0              1              3.01466        1              22.2371        1              
0              1              1.10032        1              18.9164        1              
0              1              0.0710438      1              20.1101        1              
0              1              0              1              33.0601        1              
