TaskQLat.      PRRQLat.       TaskQLen       
0.000372       -1.54395e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
6e-06          -1.54398e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
5.2e-05        -1.54398e+09   1              
2e-06          -1.54398e+09   1              
1e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
5.1e-05        -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
9.2e-05        -1.54398e+09   1              
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
5.2e-05        -1.54398e+09   1              
3e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   0              
5.5e-05        -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
1e-06          -1.54398e+09   1              
6e-05          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
5.1e-05        -1.54398e+09   1              
3e-06          -1.54398e+09   1              
0.000111       -1.54398e+09   2              
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
0.012168       -1.54398e+09   22             
3e-06          -1.54398e+09   1              
5.3e-05        -1.54398e+09   1              
2e-06          -1.54398e+09   1              
0.020608       -1.54398e+09   17             
3.1e-05        -1.54398e+09   1              
2e-06          -1.54398e+09   1              
0.012087       -1.54398e+09   21             
8.7e-05        -1.54398e+09   1              
0.016006       -1.54398e+09   1              
0.036281       -1.54398e+09   6              
0.028236       -1.54398e+09   6              
0.016048       -1.54398e+09   2              
0.011998       -1.54398e+09   1              
0.016084       -1.54398e+09   3              
0.012126       -1.54398e+09   4              
0.024083       -1.54398e+09   1              
0.012206       -1.54398e+09   5              
0.008251       -1.54398e+09   6              
0.017632       -1.54398e+09   2              
0.008282       -1.54398e+09   7              
0.004177       -1.54398e+09   3              
0.004319       -1.54398e+09   8              
0.000214       -1.54398e+09   4              
0.004355       -1.54398e+09   9              
0.020053       -1.54398e+09   1              
0.004438       -1.54398e+09   10             
1e-06          -1.54398e+09   1              
0.004475       -1.54398e+09   11             
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
0.040065       -1.54398e+09   1              
1e-06          -1.54398e+09   1              
6.7e-05        -1.54398e+09   1              
4.9e-05        -1.54398e+09   1              
8.3e-05        -1.54398e+09   2              
0.039995       -1.54398e+09   1              
3e-06          -1.54398e+09   1              
0.036048       -1.54398e+09   2              
6e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
0.035331       -1.54398e+09   4              
5.2e-05        -1.54398e+09   1              
0.032202       -1.54398e+09   5              
9.6e-05        -1.54398e+09   2              
0.016277       -1.54398e+09   7              
0.000136       -1.54398e+09   3              
0.014569       -1.54398e+09   8              
0.00022        -1.54398e+09   4              
0.000256       -1.54398e+09   5              
0.000358       -1.54398e+09   9              
0.00811        -1.54398e+09   3              
0.023996       -1.54398e+09   1              
0.023999       -1.54398e+09   1              
0.024041       -1.54398e+09   2              
0.020044       -1.54398e+09   2              
0.024078       -1.54398e+09   3              
0.036015       -1.54398e+09   4              
0.004077       -1.54398e+09   3              
0.036054       -1.54398e+09   5              
0.036092       -1.54398e+09   6              
0.00012        -1.54398e+09   3              
0.032146       -1.54398e+09   8              
0.01606        -1.54398e+09   1              
0.029076       -1.54398e+09   9              
0.012135       -1.54398e+09   2              
0.008195       -1.54398e+09   3              
0.028475       -1.54398e+09   10             
0.02834        -1.54398e+09   11             
0.011997       -1.54398e+09   1              
0.028375       -1.54398e+09   12             
0.02841        -1.54398e+09   13             
0.020002       -1.54398e+09   1              
0.024828       -1.54398e+09   14             
0.032062       -1.54398e+09   2              
0.024533       -1.54398e+09   15             
0.024568       -1.54398e+09   16             
0.008561       -1.54398e+09   2              
0.020645       -1.54398e+09   18             
0.02068        -1.54398e+09   19             
0.00826        -1.54398e+09   3              
0.017405       -1.54398e+09   20             
0.016804       -1.54398e+09   21             
0.000229       -1.54398e+09   4              
0.012843       -1.54398e+09   21             
0.012049       -1.54398e+09   20             
0.060066       -1.54398e+09   2              
0.016          -1.54398e+09   1              
0.008213       -1.54398e+09   23             
0.008042       -1.54398e+09   2              
0.008247       -1.54398e+09   25             
0.004297       -1.54398e+09   26             
0.008127       -1.54398e+09   3              
0.004332       -1.54398e+09   27             
0.004165       -1.54398e+09   4              
0.004413       -1.54398e+09   28             
0.0035         -1.54398e+09   10             
0.000491       -1.54398e+09   11             
0.000201       -1.54398e+09   4              
2e-06          -1.54398e+09   1              
0.004046       -1.54398e+09   1              
0.01201        -1.54398e+09   2              
0.000134       -1.54398e+09   2              
0.008049       -1.54398e+09   3              
0.02404        -1.54398e+09   2              
2e-06          -1.54398e+09   1              
0.044041       -1.54398e+09   1              
0.020051       -1.54398e+09   1              
0.044075       -1.54398e+09   2              
0.040123       -1.54398e+09   3              
0.020091       -1.54398e+09   2              
0.040209       -1.54398e+09   4              
0.00814        -1.54398e+09   3              
0.040236       -1.54398e+09   5              
0.036316       -1.54398e+09   7              
0.036353       -1.54398e+09   8              
0.003998       -1.54398e+09   1              
0.004015       -1.54398e+09   2              
0.032443       -1.54398e+09   9              
0.011996       -1.54398e+09   1              
0.028478       -1.54398e+09   10             
0.012198       -1.54398e+09   3              
0.028511       -1.54398e+09   11             
0.024556       -1.54398e+09   12             
0.015995       -1.54398e+09   1              
0.024599       -1.54398e+09   13             
0.024647       -1.54398e+09   14             
0.020727       -1.54398e+09   15             
0.008053       -1.54398e+09   3              
0.031999       -1.54398e+09   1              
5.9e-05        -1.54398e+09   1              
0.020763       -1.54398e+09   16             
0.020796       -1.54398e+09   17             
0.020057       -1.54398e+09   1              
0.019998       -1.54398e+09   1              
0.040056       -1.54398e+09   1              
0.03204        -1.54398e+09   2              
0.00808        -1.54398e+09   2              
5.5e-05        -1.54398e+09   1              
0.015997       -1.54398e+09   1              
0.016043       -1.54398e+09   2              
0.040097       -1.54398e+09   2              
