getDevice      getProgram     runProgram     
3.39202        1.76109        43.9169        
2.39203        1.71601        44.1821        
3.59745        0.724017       43.8102        
3.86052        1.83743        43.9928        
2.68404        1.35599        45.1687        
2.42828        2.412          43.9888        
2.12804        1.57193        45.2449        
2.64802        2.09998        44.145         
2.42003        2.43721        43.9959        
3.42804        2.75313        43.988         
2.05202        1.52406        44.1491        
2.44402        1.39614        45.1571        
2.48801        2.28111        43.9202        
2.01202        1.936          44.1414        
2.10002        1.39637        45.1523        
2.35203        2.71199        44.1568        
2.34401        1.67249        45.1522        
3.3242         1.95599        44.8795        
3.49523        0.613915       43.7896        
2.38826        2.07095        43.9111        
3.44002        1.36801        45.202         
3.38804        2.73196        44.0658        
3.38806        2.48339        43.9342        
3.77603        2.24396        44.2272        
3.51203        2.74           44.0273        
3.7094         2.22108        43.9608        
3.76534        2.12044        43.968         
3.92402        1.31598        45.3886        
2.34404        2.01202        44.3487        
2.37202        1.91197        45.1048        
2.18804        2.12117        44.1513        
2.13202        2.41376        44.1726        
2.39606        2.00946        44.1755        
4.10606        1.36086        45.3572        
2.38405        2.26597        44.2199        
2.44812        1.64829        45.3697        
2.08413        1.64           45.0664        
3.56398        1.59199        46.0251        
0.028345       16.0119        54.7776        
0.024073       16.0799        54.7114        
1.46004        24.2894        72.2543        
0.696055       25.2401        72.2437        
1.02425        26.0684        72.2724        
3.48803        22.392         72.2594        
1.33603        24.66          72.9432        
1.75603        24.1734        72.9679        
1.64804        24.2933        72.9714        
0.720017       26.5177        72.9711        
0.095233       27.4656        72.9712        
2.04804        23.0379        72.971         
0.744127       26.4219        73.1033        
1.11606        24.8618        73.1264        
1.22803        25.7978        73.1795        
1.47602        24.398         73.7633        
1.07071        26.1547        74.5537        
0.172014       27.088         74.6154        
0.365088       26.7999        74.6964        
3.38802        22.3897        74.6958        
1.33203        24.56          74.6895        
1.33208        24.7692        74.6991        
1.02411        26.1452        74.6872        
1.80805        24.0397        74.6618        
1.06001        25.9171        74.7498        
2.02436        23.8643        74.6777        
1.36802        25.757         74.7556        
0.196005       27.4255        74.6913        
1.79602        24.1854        74.7409        
1.22403        25.8567        74.7376        
1.15605        24.7897        74.7775        
1.58804        24.6066        74.7289        
0.144101       27.4966        74.6951        
1.68405        24.2248        74.7392        
1.67602        24.4642        74.7278        
0.230916       27.3813        74.7186        
3.39607        22.4015        74.7227        
1.96004        23.5387        74.3055        
3.71209        21.6616        74.6748        
1.68402        24.241         74.7194        
1.75202        24.1975        74.7509        
0.70796        26.5361        74.7724        
1.96013        23.9328        74.6957        
1.14402        25.1227        74.7018        
1.88803        23.9646        74.6881        
2.38804        23.5081        74.7566        
1.90403        23.9441        74.7448        
3.43204        22.4821        74.7109        
2.07602        23.9617        74.6833        
0.095582       27.5004        74.7648        
0.228134       27.3307        74.7647        
1.11211        25.0761        74.7616        
0.784008       26.3615        74.7723        
28.9981        0.001031       71.5527        
29.0979        0.000175       71.5557        
29.0501        2.8e-05        71.5556        
1.13202        25.0735        74.8083        
28.9969        3.3e-05        71.5529        
29.018         9.5e-05        71.5557        
1.35204        24.6452        74.8088        
28.9701        0.004666       71.5485        
29.0619        0.000234       71.5561        
1.13602        25.0778        74.8086        
28.966         0.003008       71.5535        
0.192238       27.3999        74.7706        
0.468043       25.85          74.7608        
3.40003        22.4481        74.7591        
1.20802        25.7008        74.7746        
1.0921         26.1049        74.8106        
1.02822        26.027         74.7606        
1.12402        24.9567        74.7549        
0.72402        25.5933        74.6065        
0.228082       27.3217        74.7821        
1.97205        22.7209        74.7271        
1.93603        23.946         74.7421        
1.31202        24.8124        74.7598        
1.35601        24.7848        74.7793        
1.82406        23.0609        74.7754        
0.023891       27.581         74.7792        
0.17502        27.3726        74.8132        
1.75604        24.2127        74.773         
0.468007       26.7646        74.8132        
0.038667       27.6114        74.7222        
1.01232        26.0965        74.7477        
1.78004        24.0404        74.7479        
1.32806        24.8505        74.7659        
0.033423       27.5329        74.8155        
3.39203        22.4363        74.7321        
0.652063       25.4523        74.7682        
0.030991       27.5297        74.8264        
1.52803        24.4178        74.8315        
1.66803        24.4613        74.8066        
3.48408        21.6638        75.223         
0.960024       25.2179        75.2752        
0.628065       26.662         75.2397        
0.692011       26.5974        75.4262        
0.234909       27.3442        75.4101        
1.81202        23.9481        75.456         
0.234917       27.3563        75.412         
0.632454       26.5652        75.4311        
1.88406        23.8806        75.3877        
1.03602        26.0856        75.3867        
3.41205        22.3647        75.4077        
0.257962       27.2958        75.4628        
1.028          26.12          75.4245        
0.455993       26.8382        75.4086        
3.51602        21.689         75.3818        
3.55606        22.2777        75.4668        
3.66844        21.5338        75.4667        
2.06806        22.7808        75.3358        
3.80133        21.5532        75.3794        
1.62402        24.577         75.4396        
3.47204        22.3973        75.4562        
0.444007       26.8325        75.384         
1.31601        25.789         75.5036        
3.40403        22.3619        75.4872        
1.01604        26.1599        75.4735        
3.43201        22.3281        75.4778        
1.16402        24.9638        75.4066        
1.02802        26.0678        75.4506        
0.668025       25.601         75.4815        
1.73602        24.2339        75.4449        
1.68807        24.2096        75.4937        
1.98004        23.5372        75.4382        
3.32405        22.4807        75.423         
0.784001       26.4383        75.465         
1.08008        25.1284        75.4798        
1.39204        24.6109        75.4656        
1.29602        24.8693        75.4866        
1.2961         24.9407        75.4799        
0.888038       26.3651        75.4843        
1.17205        25.0371        75.5165        
2.14005        22.5715        75.4263        
1.69205        24.1734        75.5165        
1.97603        23.9971        75.451         
0.436013       26.7933        75.4511        
