Avg.WorkLoad   NumPRRs        
-nan           1              
0.105525       1              
0.527625       1              
1.05525        2              
0.696465       1              
1.79393        2              
1.0658         3              
0.78792        4              
0.627874       3              
0.865305       4              
0.670084       3              
0.949725       4              
0.75978        4              
0.796714       4              
0.828371       4              
0.860029       4              
0.860029       4              
0.860029       4              
0.860029       4              
0.860029       4              
0.891686       4              
0.891686       4              
0.92862        4              
0.960278       4              
0.991935       4              
1.02359        4              
1.06053        4              
1.09218        4              
1.12384        4              
1.1555         4              
1.1555         4              
1.1555         4              
1.1555         4              
1.1555         4              
1.19243        4              
1.22409        4              
1.25575        4              
1.28741        4              
1.32434        4              
1.356          4              
1.38765        4              
1.41931        4              
1.45625        4              
1.4879         4              
1.51956        4              
1.55122        4              
1.58815        4              
1.61981        4              
1.65147        4              
1.68312        4              
1.72006        4              
1.75172        4              
1.78337        4              
1.81503        4              
1.85196        4              
1.88362        4              
1.91528        4              
1.94694        4              
1.98387        4              
2.01553        4              
2.04718        4              
2.07884        4              
2.07884        4              
2.11578        4              
2.11578        4              
2.14743        4              
2.17909        4              
2.17909        4              
2.21075        4              
2.24768        4              
2.27934        4              
2.311          4              
2.34266        4              
2.37959        4              
2.41125        4              
2.4429         4              
2.47456        4              
2.5115         4              
2.54315        4              
2.57481        4              
2.60647        4              
2.6434         4              
2.67506        4              
2.67506        4              
2.70672        4              
2.70672        4              
2.73837        4              
2.73837        4              
2.77531        4              
2.80697        4              
2.83862        4              
2.83862        4              
2.87028        4              
2.90721        4              
2.93887        4              
2.97053        4              
3.00219        4              
3.03912        4              
3.03912        4              
3.07078        4              
3.10244        4              
3.13409        4              
3.17103        4              
3.20268        4              
3.23434        4              
3.266          4              
3.30293        4              
3.33459        4              
3.36625        4              
3.36625        4              
3.39791        4              
3.43484        4              
3.4665         4              
3.4665         4              
3.49815        4              
3.52981        4              
3.52981        4              
3.56675        4              
3.5984         4              
3.63006        4              
3.66172        4              
3.69865        4              
3.73031        4              
3.76197        4              
3.79362        4              
3.83056        4              
3.86222        4              
3.89387        4              
3.92553        4              
3.96246        4              
3.99412        4              
4.02578        4              
4.05744        4              
4.09437        4              
4.12603        4              
4.15769        4              
4.18934        4              
4.22628        4              
4.25793        4              
4.28959        4              
4.32125        4              
4.35818        4              
4.38984        4              
4.4215         4              
4.45316        4              
4.49009        4              
4.52175        4              
4.5534         4              
4.58506        4              
4.62199        4              
4.65365        4              
4.68531        4              
4.71697        4              
4.71697        4              
4.7539         4              
4.78556        4              
4.81722        4              
4.84887        4              
4.88581        4              
4.91747        4              
4.94912        4              
4.98078        4              
5.01771        4              
5.04937        4              
5.08103        4              
5.11269        4              
5.14962        4              
5.18128        4              
5.21294        4              
5.24459        4              
5.28153        4              
5.28153        4              
5.31318        4              
5.34484        4              
5.3765         4              
5.41343        4              
5.44509        4              
5.47675        4              
5.50841        4              
5.54534        4              
5.577          4              
5.60865        4              
5.64031        4              
5.67725        4              
5.7089         4              
5.74056        4              
5.77222        4              
5.80915        4              
0.359467       3              
2.39645        4              
3.41494        4              
3.59467        4              
0.359467       3              
1.91716        4              
2.51627        4              
3.7744         4              
4.8528         4              
5.9312         4              
7.0096         4              
8.26774        4              
8.26774        4              
9.34614        4              
9.34614        4              
10.4245        4              
11.5029        4              
11.5029        4              
12.7611        4              
13.8395        4              
13.8395        4              
14.9179        4              
14.9179        4              
15.9963        4              
17.2544        4              
18.3328        4              
19.4112        4              
20.4896        4              
21.7477        4              
22.8261        4              
23.9046        4              
24.983         4              
26.2411        4              
27.3195        4              
28.3979        4              
29.4763        4              
30.7344        4              
31.8128        4              
32.8912        4              
33.9696        4              
33.9696        4              
33.9696        4              
