TaskQLat.      PRRQLat.       TaskQLen       
0.000317       -1.54395e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
4e-06          -1.54398e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
3e-06          -1.54398e+09   1              
4e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
4.7e-05        -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
4.8e-05        -1.54398e+09   1              
1e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
0.000109       -1.54398e+09   1              
3e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
6e-05          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
5.1e-05        -1.54398e+09   1              
3e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
5e-05          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
5.4e-05        -1.54398e+09   1              
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
5.3e-05        -1.54398e+09   1              
1e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
0.004347       -1.54398e+09   8              
2e-06          -1.54398e+09   1              
0.004141       -1.54398e+09   2              
0.004175       -1.54398e+09   3              
2e-06          -1.54398e+09   1              
4.8e-05        -1.54398e+09   1              
0.000217       -1.54398e+09   4              
3e-06          -1.54398e+09   1              
0.004144       -1.54398e+09   6              
2e-06          -1.54398e+09   1              
0.024041       -1.54398e+09   2              
2e-06          -1.54398e+09   1              
6e-06          -1.54398e+09   1              
0.027997       -1.54398e+09   1              
9.2e-05        -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
0.00408        -1.54398e+09   1              
2e-06          -1.54398e+09   1              
0.015993       -1.54398e+09   1              
0.039994       -1.54398e+09   1              
0.01608        -1.54398e+09   2              
0.016115       -1.54398e+09   3              
0.024          -1.54398e+09   1              
0.012157       -1.54398e+09   4              
2e-06          -1.54398e+09   1              
0.012193       -1.54398e+09   5              
0.009375       -1.54398e+09   6              
0.027999       -1.54398e+09   1              
0.000101       -1.54398e+09   1              
0.004317       -1.54398e+09   7              
0.023995       -1.54398e+09   1              
3e-06          -1.54398e+09   1              
0.027995       -1.54398e+09   1              
2e-06          -1.54398e+09   1              
4.1e-05        -1.54398e+09   2              
0.012056       -1.54398e+09   3              
0.012115       -1.54398e+09   2              
0.012154       -1.54398e+09   3              
0.019994       -1.54398e+09   1              
0.012191       -1.54398e+09   4              
0.004232       -1.54398e+09   5              
3e-06          -1.54398e+09   1              
0.009422       -1.54398e+09   2              
0.020107       -1.54398e+09   2              
0.031998       -1.54398e+09   1              
0.008146       -1.54398e+09   3              
0.032091       -1.54398e+09   2              
0.032128       -1.54398e+09   3              
2e-06          -1.54398e+09   1              
0.019991       -1.54398e+09   1              
2e-06          -1.54398e+09   1              
0.020167       -1.54398e+09   4              
0.020201       -1.54398e+09   5              
0.036002       -1.54398e+09   1              
0.016245       -1.54398e+09   6              
0.016329       -1.54398e+09   7              
0.016104       -1.54398e+09   2              
0.012148       -1.54398e+09   3              
0.012381       -1.54398e+09   9              
2e-06          -1.54398e+09   1              
0.007686       -1.54398e+09   11             
0.003999       -1.54398e+09   1              
0.004471       -1.54398e+09   12             
0.016044       -1.54398e+09   13             
0.007996       -1.54398e+09   1              
0.016128       -1.54398e+09   14             
0.00817        -1.54398e+09   3              
3.8e-05        -1.54398e+09   1              
0.004204       -1.54398e+09   4              
0.000174       -1.54398e+09   3              
0.000246       -1.54398e+09   5              
0.012101       -1.54398e+09   3              
0.003996       -1.54398e+09   1              
0.000259       -1.54398e+09   6              
0.01205        -1.54398e+09   1              
0.004009       -1.54398e+09   2              
0.008084       -1.54398e+09   2              
0.000126       -1.54398e+09   3              
0.023995       -1.54398e+09   1              
1e-06          -1.54398e+09   1              
3.7e-05        -1.54398e+09   1              
2e-06          -1.54398e+09   1              
0.000118       -1.54398e+09   2              
0.035995       -1.54398e+09   1              
0.023997       -1.54398e+09   1              
0.016041       -1.54398e+09   2              
0.020064       -1.54398e+09   1              
0.008092       -1.54398e+09   4              
0.000227       -1.54398e+09   6              
0.019998       -1.54398e+09   1              
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
0.024          -1.54398e+09   1              
0.008013       -1.54398e+09   2              
0.024047       -1.54398e+09   2              
2e-06          -1.54398e+09   1              
0.024086       -1.54398e+09   3              
0.015995       -1.54398e+09   1              
0.020165       -1.54398e+09   4              
0.01221        -1.54398e+09   4              
0.028102       -1.54398e+09   2              
0.012237       -1.54398e+09   5              
0.008282       -1.54398e+09   6              
0.028026       -1.54398e+09   3              
0.00828        -1.54398e+09   2              
0.004322       -1.54398e+09   7              
0.031994       -1.54398e+09   1              
0.004401       -1.54398e+09   8              
0.00044        -1.54398e+09   9              
0.020009       -1.54398e+09   2              
0.008052       -1.54398e+09   3              
2e-06          -1.54398e+09   1              
0.0161         -1.54398e+09   2              
0.024035       -1.54398e+09   1              
0.023996       -1.54398e+09   1              
0.024044       -1.54398e+09   2              
0.020134       -1.54398e+09   3              
0.008015       -1.54398e+09   2              
0.016045       -1.54398e+09   2              
0.012196       -1.54398e+09   6              
0.008234       -1.54398e+09   7              
0.004017       -1.54398e+09   2              
2e-06          -1.54398e+09   1              
0.012169       -1.54398e+09   3              
0.008019       -1.54398e+09   2              
4.2e-05        -1.54398e+09   2              
0.012203       -1.54398e+09   4              
0.000126       -1.54398e+09   3              
0.031997       -1.54398e+09   1              
0.027995       -1.54398e+09   1              
0.016874       -1.54398e+09   1              
0.024012       -1.54398e+09   2              
2e-06          -1.54398e+09   1              
0.032044       -1.54398e+09   2              
0.01208        -1.54398e+09   3              
0.008171       -1.54398e+09   4              
6e-05          -1.54398e+09   1              
0.027998       -1.54398e+09   1              
0.024389       -1.54398e+09   1              
2e-06          -1.54398e+09   1              
0.039995       -1.54398e+09   1              
0.024087       -1.54398e+09   2              
0.024003       -1.54398e+09   1              
0.00402        -1.54398e+09   3              
2e-06          -1.54398e+09   1              
0.011996       -1.54398e+09   1              
5.3e-05        -1.54398e+09   1              
0.015997       -1.54398e+09   1              
0.008048       -1.54398e+09   2              
2.4e-05        -1.54398e+09   2              
0.016          -1.54398e+09   1              
0.044049       -1.54398e+09   1              
0.024093       -1.54398e+09   2              
0.012132       -1.54398e+09   3              
0.012152       -1.54398e+09   4              
0.039997       -1.54398e+09   1              
0.012115       -1.54398e+09   2              
0.011997       -1.54398e+09   1              
0.008043       -1.54398e+09   2              
0.019989       -1.54398e+09   1              
5.4e-05        -1.54398e+09   1              
0.013606       -1.54398e+09   1              
0.004023       -1.54398e+09   2              
0.008614       -1.54398e+09   1              
0.004666       -1.54398e+09   2              
0.032049       -1.54398e+09   1              
0.031999       -1.54398e+09   1              
0.016046       -1.54398e+09   3              
0.007994       -1.54398e+09   1              
0.00011        -1.54398e+09   4              
0.027993       -1.54398e+09   1              
3e-06          -1.54398e+09   1              
0.036093       -1.54398e+09   2              
0.032228       -1.54398e+09   1              
1.3e-05        -1.54398e+09   1              
0.023995       -1.54398e+09   1              
0.020041       -1.54398e+09   2              
0.016129       -1.54398e+09   3              
0.015996       -1.54398e+09   1              
0.020286       -1.54398e+09   1              
0.016346       -1.54398e+09   2              
0.012385       -1.54398e+09   3              
0.040046       -1.54398e+09   1              
3e-06          -1.54398e+09   1              
4e-06          -1.54398e+09   1              
