Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        
-nan           1              -nan           1              -nan           1              
0              1              0              1              0              1              
0              1              0              1              0              1              
6.83276e-05    1              0              1              0              1              
6.83276e-05    1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0.000230991    1              0              1              0              1              
0.000585561    1              0              1              0              1              
0.000585561    1              0              1              0              1              
0.00517578     1              0              1              0              1              
0.12599        1              0              1              0              1              
0.28982        1              0              1              0              1              
0.43473        1              0              1              0              1              
0.641664       1              0.0065838      1              0              1              
0.792054       1              0.0175568      1              0              1              
0.922392       1              0.0416974      1              0              1              
1.01931        1              0.087784       1              0              1              
5.77458        1              1.78171        1              0.0254848      1              
1.85647        1              3.48342        1              0              1              
4.27106        1              2.63542        1              0.063722       1              
7.69313        1              6.71804        1              0.127444       1              
1.70877        1              8.2296         1              0.191166       1              
1.70877        1              8.2296         1              0.191166       1              
4.61308        1              9.90911        1              0.191166       1              
0.921188       1              12.9415        1              1.39501        1              
0.62405        1              6.94123        1              1.60962        1              
0.62405        1              7.79975        1              1.93155        1              
2.3464         1              10.1941        1              5.52142        1              
1.33537        1              7.15367        1              12.25          1              
1.33537        1              7.15367        1              12.25          1              
1.33537        1              7.15367        1              12.25          1              
1.33537        1              7.15367        1              12.25          1              
1.33537        1              7.15367        1              12.25          1              
1.33537        1              7.15367        1              12.25          1              
1.33537        1              7.15367        1              12.25          1              
0.481884       1              9.61915        1              24.0692        1              
0.0325869      1              7.90578        1              24.0455        1              
0              1              4.58343        1              19.4544        1              
0              1              4.58343        1              19.4544        1              
0              1              3.48088        1              31.1332        1              
0              1              2.74073        1              32.77          1              
0              1              2.71884        1              36.6845        1              
0              1              2.71884        1              36.6845        1              
0              1              3.35061        1              46.8103        1              
0              1              3.35061        1              46.8103        1              
