TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
3.3e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-05          0              2.9e-05        0              0              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-05          0              2.8e-05        0              0              
3.1e-05        0              2.9e-05        0              0              
3.1e-05        0              2.7e-05        0              0              
3.6e-05        0              3.4e-05        0              0              
0.000145       0.000141       0              1e-06          1              
0.000329       0.000289       3.7e-05        0              0              
3.7e-05        0              3.4e-05        0              0              
4e-06          0              0              1e-06          1              
3.9e-05        0              3.6e-05        0              0              
4e-06          1e-06          0              1e-06          1              
3.5e-05        0              3.3e-05        0              0              
4.8e-05        0              4.6e-05        0              0              
3.7e-05        0              3.5e-05        0              0              
4e-05          0              3.8e-05        0              0              
3.7e-05        0              3.5e-05        0              0              
3.2e-05        0              3.1e-05        0              0              
2.9e-05        0              2.8e-05        0              0              
0.000164       0.000135       2.8e-05        0              0              
3e-05          0              2.8e-05        0              0              
3e-05          0              2.8e-05        0              0              
2.9e-05        0              2.7e-05        0              0              
2.8e-05        0              2.7e-05        0              0              
2.9e-05        0              2.8e-05        0              0              
2.9e-05        0              2.7e-05        0              0              
2.9e-05        0              2.8e-05        0              0              
2.9e-05        0              2.8e-05        0              0              
2.9e-05        0              2.7e-05        0              0              
0.000173       0.000141       2.9e-05        0              0              
3.2e-05        1e-06          2.8e-05        0              0              
2.9e-05        0              2.8e-05        0              0              
2.9e-05        0              2.7e-05        0              0              
2.9e-05        0              2.8e-05        0              0              
3.2e-05        0              3e-05          0              0              
3e-05          0              2.8e-05        0              0              
2e-06          0              0              1e-06          1              
2.9e-05        0              2.7e-05        0              0              
2.8e-05        0              2.7e-05        0              0              
2.9e-05        0              2.8e-05        0              0              
0.000171       0.00014        2.9e-05        0              0              
3.1e-05        1e-06          2.9e-05        0              0              
3e-05          0              2.9e-05        0              0              
2.9e-05        0              2.7e-05        0              0              
3e-06          0              0              1e-06          1              
3.2e-05        0              3e-05          0              0              
3.4e-05        1e-06          3.2e-05        0              0              
3e-05          0              2.8e-05        0              0              
2.9e-05        0              2.8e-05        0              0              
2.9e-05        0              2.8e-05        0              0              
3e-06          0              0              0              1              
2.8e-05        0              2.7e-05        0              0              
0.000201       0.000168       3e-05          0              0              
3.5e-05        0              3.4e-05        0              0              
3e-05          0              2.9e-05        0              0              
2e-06          0              0              0              1              
2.9e-05        0              2.8e-05        0              0              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.2e-05        0              3e-05          0              0              
1.3e-05        0              0              1.1e-05        1              
2.9e-05        0              2.8e-05        0              0              
3e-05          0              2.8e-05        0              0              
2.9e-05        0              2.7e-05        0              0              
3.1e-05        0              2.9e-05        0              0              
0.000226       0.000191       3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3e-05          0              2.9e-05        0              0              
3e-05          0              2.8e-05        0              0              
3e-05          0              2.8e-05        0              0              
3.1e-05        0              2.8e-05        0              0              
2.9e-05        0              2.7e-05        0              0              
3.3e-05        0              3.1e-05        0              0              
3.1e-05        0              2.9e-05        0              0              
3e-05          0              2.8e-05        0              0              
3e-06          0              0              1e-06          1              
0.022544       0              0.022542       0              0              
0.002517       0.002407       0.000107       0              0              
0.00011        0              0.000107       0              0              
4e-06          0              0              1e-06          1              
0.000199       0              0.000126       0              0              
0.016126       0              0.000125       0              0              
4e-06          0              0              1e-06          1              
0.000126       0              0.000124       0              0              
6e-06          0              0              2e-06          1              
0.000134       1e-06          0.000129       0              0              
0.000129       1e-06          0.000126       0              0              
0.000128       0              0.000125       0              0              
4e-06          0              0              1e-06          1              
0.00013        0              0.000125       0              0              
0.000127       0              0.000124       0              0              
0.002558       0.002448       0.000104       0              0              
0.000182       0              0.000178       0              0              
0.000108       0              0.000105       0              0              
0.000109       0              0.000106       0              0              
8.8e-05        0              0              8.5e-05        1              
0.00011        0              0.000105       0              0              
0.000128       0              0.000124       0              0              
5e-06          0              0              2e-06          1              
2e-06          0              0              1e-06          1              
0.000135       0              0.000129       0              0              
0.007906       0              0.007903       0              0              
0.000128       1e-06          0.000125       0              0              
0.000128       0              0.000124       0              0              
0.002676       0.00257        0.000104       0              0              
0.000121       0              0.000118       0              0              
0.000109       0              0.000106       0              0              
0.000108       0              0.000105       0              0              
0.000108       0              0.000105       0              0              
0.000108       0              0.000105       0              0              
0.000107       0              0.000105       0              0              
0.000108       0              0.000105       0              0              
0.000109       0              0.000106       0              0              
0.000132       0              0.000127       0              0              
0.002543       0.002436       0.000103       0              0              
0.000109       1e-06          0.000106       0              0              
0.000108       0              0.000105       0              0              
0.000108       0              0.000105       0              0              
0.000109       0              0.000105       0              0              
0.000108       0              0.000105       0              0              
6e-06          0              0              2e-06          1              
0.000135       0              0.00013        0              0              
0.000128       0              0.000125       0              0              
0.000127       1e-06          0.000124       0              0              
0.016063       0              0.01606        0              0              
0.010152       0.010045       0.000103       0              0              
0.016133       0              0.01613        0              0              
0.000127       0              0.000124       0              0              
0.000127       0              0.000124       0              0              
5e-06          0              0              2e-06          1              
0.000126       0              0.000125       0              0              
0.000127       0              0.000124       0              0              
0.000127       0              0.000124       0              0              
0.000129       0              0.000123       0              0              
0.000127       0              0.000124       0              0              
0.000126       0              0.000123       0              0              
0.002568       0.002463       0.000103       0              0              
0.000108       0              0.000106       0              0              
0.000108       0              0.000105       0              0              
0.000109       0              0.000106       0              0              
0.008065       0              0.008062       0              0              
0.003974       0              0.003971       0              0              
0.000127       0              0.000124       0              0              
0.000127       0              0.000124       0              0              
0.000127       0              0.000124       0              0              
0.000126       0              0.000123       0              0              
0.013868       0.013762       0.000103       0              0              
0.000121       0              0.000118       0              0              
0.000123       0              0.000118       0              0              
0.00011        0              0.000105       0              0              
0.000108       0              0.000105       0              0              
0.000112       0              0.000108       0              0              
0.000108       0              0.000105       0              0              
0.00011        0              0.000106       0              0              
0.000112       0              0.000108       0              0              
0.000108       0              0.000104       0              0              
